Pressure,Qual0.5,Qual1,Qual2,Qual5,Qual10,Qual20,Qual30,Qual50,Qual100,Qual200,Qual500,,,,,,,,,,,,,,,,,,,
0.94,0.046988957,0.093955834,0.187823391,0.468897228,0.935595811,1.862438226,2.780609143,4.591260241,8.971723776,17.13852928,37.49977317,,,,,,,,,,,,,,,,,,,
0.96,0.047988482,0.095953935,0.191815798,0.478849841,0.95540671,1.901685401,2.838923281,4.686621292,9.153598393,17.46931315,38.12166082,,,,,,,,,,,,,,,,,,,
0.98,0.048987997,0.097951996,0.195808045,0.488801458,0.975213648,1.94091688,2.897202442,4.78188703,9.335109625,17.79877653,38.73736058,,,,,,,,,,,,,,,,,,,
1,0.049987502,0.099950017,0.199800133,0.498752081,0.995016625,1.980132669,2.955446645,4.87705755,9.516258196,18.12692469,39.34693403,,,,,,,,,,,,,,,,,,,
1.02,0.050986997,0.101947998,0.203792061,0.508701708,1.014815642,2.019332776,3.013655913,4.972132947,9.697044833,18.45376288,39.95044212,,,,,,,,,,,,,,,,,,,
1.04,0.051986482,0.103945939,0.20778383,0.51865034,1.034610699,2.058517205,3.071830265,5.067113316,9.877470258,18.77929633,40.5479452,,,,,,,,,,,,,,,,,,,
1.06,0.052985957,0.10594384,0.211775439,0.528597978,1.054401798,2.097685964,3.129969723,5.161998752,10.05753519,19.10353024,41.13950303,,,,,,,,,,,,,,,,,,,
1.08,0.053985423,0.107941701,0.215766888,0.538544621,1.074188939,2.136839059,3.188074308,5.25678935,10.23724036,19.42646981,41.72517476,,,,,,,,,,,,,,,,,,,
1.1,0.054984878,0.109939522,0.219758177,0.548490269,1.093972122,2.175976495,3.246144041,5.351485205,10.41658647,19.7481202,42.30501896,,,,,,,,,,,,,,,,,,,
1.12,0.055984323,0.111937303,0.223749307,0.558434923,1.11375135,2.215098279,3.304178942,5.446086411,10.59557425,20.06848656,42.87909362,,,,,,,,,,,,,,,,,,,
1.14,0.056983758,0.113935045,0.227740277,0.568378582,1.133526622,2.254204418,3.362179033,5.540593063,10.77420441,20.38757402,43.44745613,,,,,,,,,,,,,,,,,,,
1.16,0.057983183,0.115932746,0.231731088,0.578321247,1.15329794,2.293294918,3.420144335,5.635005256,10.95247767,20.70538767,44.01016334,,,,,,,,,,,,,,,,,,,
